,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,23790,5725,565,403,1,Y,N,WS_Closed,4229 update2-6-12&pj,"4229-420, Hilal development project&pj",,10171,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,QrjYlVx9JUuhcvNOcrhF/g,,
1,23791,5725,565,100,1,N,N,WS_Closed,3,Procurement,,23790,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,6jT/rBd90EmG517/eyG3Hw,PGpkZCa8T9C0ccH4WHgz0w,
2,23792,5725,565,1,1,N,N,WS_Closed,7,General activities,,23790,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,wRRhhIItNki1MKN/odhmNw,,
3,23793,5725,565,0,1,N,N,WS_Closed,1,General Milestones,,23790,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,GBzijsPg1kuUqge5iVJAyQ,v7ZikM1oS5ul6ds2bfHN9Q,
4,23794,5725,565,9,1,N,N,WS_Closed,2,Engineering,,23790,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,fMGruTygHU6BavV5WpCgUQ,vMMCD6BXRSymihmqCMUzMQ,
5,23795,5725,565,500,1,N,N,WS_Closed,6,(New WBS),,23790,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,M5e9zKRcBUa/KikCy7DZRQ,LPkOqkjTaE+yBT0BKHb0jw,
6,23796,5725,565,301,1,N,N,WS_Closed,4,Construction supervision,,23790,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,lLEDymU7kkCMmeWzGVtVjA,jymUS6zgQSqFs/fwKnygfg,
7,23797,5725,565,400,1,N,N,WS_Closed,5,Pre-commissioning & Commissioning,,23790,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,4ZM42s45cUGfx+qM0iAsHQ,epNFFh+CRIyQOyeE3ZV+8w,
8,23798,5725,565,100,1,N,N,WS_Open,Master Rev.F-N-4,Hillal-B PLATFORM DEVELOPMENT-Normal,,23790,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,1tlpn2f+y0m71wv67R9dTg,,
9,23799,5725,565,1201,1,N,N,WS_Closed,19,Safe guard system,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,Dm78tb0sIkWH8L4abfU1jw,,
10,23800,5725,565,1601,1,N,N,WS_Closed,20,Pressure Vessels,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,Uf4uCtY290y1oWmJTwJxJg,,
11,23801,5725,565,2208,1,N,N,WS_Closed,25,Kamos ring,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,1k8Du0lrVEiZiNy6nwLjPw,,
12,23802,5725,565,2205,1,N,N,WS_Closed,26,Anchor flanges,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,E+pyHOkrEEeyq5qLX3Ou6g,,
13,23803,5725,565,1602,1,N,N,WS_Closed,21,Open drain Tanks (Cancelled),,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,H3kxsP0lEUuM8Ixh67b7sg,,
14,23804,5725,565,2201,1,N,N,WS_Closed,5,"8""""pipeline",,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,xBjjwGHG70ClDIXpyRGiqg,,
15,23805,5725,565,2102,1,N,N,WS_Closed,24,"18"""" pipeline",,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,Xtycxao8dUeFiiVuXfb6JQ,,
16,23806,5725,565,2203,1,N,N,WS_Closed,30,Hot bends,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,UF8Ftb0tt0C+250k5EK7CA,,
17,23807,5725,565,101,1,N,N,WS_Closed,13,Fire & gas detectors,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,3yYfsZbJs0CL3SA81kzNNg,1TuzSlyhxk2IFpSoSix+cA,
18,23808,5725,565,2206,1,N,N,WS_Closed,27,Isolating joints,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,TddnZYLbRUCRJrifrI0F+g,,
19,23809,5725,565,2207,1,N,N,WS_Closed,28,Heat shrink sleeves,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,7MojEPbXQ0KBWWxt3k9Xdg,,
20,23810,5725,565,2204,1,N,N,WS_Closed,29,Flanges,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,3dYimDVRT0+33vgtIDWR9w,,
21,23811,5725,565,2101,1,N,N,WS_Closed,33,Progress cavity pump,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,GccsxazCIUinxr+avfdh1g,,
22,23812,5725,565,1101,1,N,N,WS_Closed,34,Additonal shutdown valves,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,QvVdgCQkDEazPLGcG4Fr/Q,,
23,23813,5725,565,207,1,N,N,WS_Closed,35,Additional piping bulk,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,+ESocmGVoUGZ0wpkMxZcDA,,
24,23814,5725,565,101,1,N,N,WS_Closed,22,Pressure safety valves,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,bZUgZnkp+EqczIfJeDWAXw,,
25,23815,5725,565,1001,1,N,N,WS_Closed,23,shutdown valves,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,SxyC4yIIKEOrMKnW+p+/Ig,,
26,23816,5725,565,205,1,N,N,WS_Closed,7,Piping Bulk,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,HN/cCscHLUKgzYwOx5Huiw,,
27,23817,5725,565,208,1,N,N,WS_Closed,8,"Piping Gate,Globe & Butterfly valves",,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,X1dPddfXZ02OzeNTowPMxg,,
28,23818,5725,565,1204,1,N,N,WS_Closed,9,Solar power unit,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,kfTf7c3uX0GGc6eOeaZtJA,,
29,23819,5725,565,301,1,N,N,WS_Closed,32,Piping Ball Valves,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,WmvuiD3thkCX+LImTL3BWg,,
30,23820,5725,565,1401,1,N,N,WS_Closed,11,Electrical bulk,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,StmNySF7RkmxzPeZrfWY9A,,
31,23821,5725,565,501,1,N,N,WS_Closed,12,Instrument electrical bulk,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,hVoJ5lGJOUWwelWJO6Dp7w,,
32,23822,5725,565,701,1,N,N,WS_Closed,14,Instrument mechanical bulk,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,Sm2AB9n00UKi0PVzA3p+kw,,
33,23823,5725,565,801,1,N,N,WS_Closed,15,Field instrument,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,erugaTFLo0es02GbWQKkyQ,,
34,23824,5725,565,901,1,N,N,WS_Closed,16,Choke valves,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,xPym0Uf7QE2hQnzVnfPisw,,
35,23825,5725,565,902,1,N,N,WS_Closed,17,Pressure regulator valves,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,eqTdRklXykuEyd/6pVrrKQ,,
36,23826,5725,565,101,1,N,N,WS_Closed,6,Chemical injection PKG,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,QeuNuzwsMUCAVp4WdCZuOg,,
37,23827,5725,565,202,1,N,N,WS_Closed,31,Life saving equipment (Cancelled),,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,2GvMDvTLgkKfM6uyu7qZww,ACieVgezbU+bO33DA/LZmQ,
38,23828,5725,565,1501,1,N,N,WS_Closed,1,Cathodic protection,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,MrnZOU/2O0q9TKSa7o+qkg,,
39,23829,5725,565,101,1,N,N,WS_Closed,3,Fire fighting system,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,66rZEsKFUkilP3gjAQ0K5w,,
40,23830,5725,565,401,1,N,N,WS_Closed,2,Launcher & Receiver traps,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,M1PSKfPCl0ekjYFEMALFLQ,,
41,23831,5725,565,1203,1,N,N,WS_Closed,4,Radar System,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,uZWlb6ysgU2/4B1PROcelg,,
42,23832,5725,565,1102,1,N,N,WS_Closed,18,Multiphase flowmeter,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,OaTUCRa7SkqOfh0JABY6MA,,
43,23833,5725,565,201,1,N,N,WS_Closed,10,Loss prevention,,23794,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,hJtAMvUsFk6FS5K5uJpcAA,,
44,23834,5725,565,702,1,N,N,WS_Closed,7,Pipeline,,23794,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,TePzJX0W2EG+yW3kKAz6ew,gJkBS5LjQXCoenzae/uB9g,
45,23835,5725,565,501,1,N,N,WS_Closed,6,Instrument,,23794,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,v6v+QaSuB0OdLUR62Cvh/g,f/HyX0VFQtCPEXcjpqcy4Q,
46,23836,5725,565,402,1,N,N,WS_Closed,5,Electrical,,23794,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,blXx7ojLL0qIQicrRFGrAw,nZswGiv0QYG0KrhpkvfFgQ,
47,23837,5725,565,202,1,N,N,WS_Closed,2,Piping,,23794,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,GYUYWdx0bUuGdbqg429bqg,uPlbOcEBRaijD0QXoElPsA,
48,23838,5725,565,1301,1,N,N,WS_Closed,10,Navigation aids,,23791,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,98JdwMGK7EmaYKduZgyEFQ,,
49,23839,5725,565,701,1,N,N,WS_Closed,4,Offshore,,23794,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,vj37zgayg02e/tYL7rPfaw,9OHXEYKiQQaeKwBmlDCpkg,
50,23840,5725,565,301,1,N,N,WS_Closed,3,Mechanical,,23794,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,44bB2+pzbUOoZL45NcLVOw,ZvpMUe3/StadQM3PBVdsbg,
51,23841,5725,565,601,1,N,N,WS_Closed,9,Telecommunication,,23794,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,W0GvyZs7VkSNBUwox7Dj/A,,
52,23842,5725,565,401,1,N,N,WS_Closed,8,Pressure vessels,,23794,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,1+QgXn03BE+20L+fBR4QeA,,
53,23843,5725,565,0,1,N,N,WS_Closed,5,L/O & Sea Fastening,,23793,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,v1oySm65Qka/7+FnztLD0Q,BVmNyjU+SE+hYPuLJJKSxA,
54,23844,5725,565,100,1,N,N,WS_Open,Master Rev.F-N-4,Hillal-B PLATFORM DEVELOPMENT-Normal,,23798,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,odABQst/DkOODG5WunMcWQ,,
55,23845,5725,565,6,1,N,N,WS_Open,4,Fabrication,,23798,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,gMTycevBHk+jbmuAknVbfg,,
56,23846,5725,565,4,1,N,N,WS_Open,3,Procurment,,23798,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Q5/jGs5YaEqG3Ulm85NkIQ,,
57,23847,5725,565,2,1,N,N,WS_Open,2,Engineering,,23798,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,qtySThv5VU2zOSlhHD6Khw,,
58,23848,5725,565,7,1,N,N,WS_Open,5,L/O & Sea Fastening,,23798,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Vbsl2AFNE0qxTnxeNwOj2w,,
59,23849,5725,565,5,1,N,N,WS_Open,6,Pre-Fabrication,,23798,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,kLEjzmtjwEilot5H1vX25Q,,
60,23850,5725,565,101,1,N,N,WS_Closed,1,Process,,23794,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,U0MFQfjWcEGqkFsi+y7r8g,vzXoB2UASsCP1FI25LHYOw,
61,23851,5725,565,0,1,N,N,WS_Open,1,General Milestone,,23798,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,rOEkj3fD4kuuwxmlAK1VuQ,,
62,23852,5725,565,2,1,N,N,WS_Closed,3,MRQ's,,23833,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,qSonbfyXv0KkFAh8iwA4wQ,72qU2yo9mEOfoDl8nK18Zg,
63,23853,5725,565,203,1,N,N,WS_Closed,1,Drawing/ lists,,23837,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,BJjO87gM1k6EF4DnoJJ5kQ,,
64,23854,5725,565,2,1,N,N,WS_Closed,3,MRQ's / specifications,,23840,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,+6RuBihUCE6VZv/0vZR3Ew,72qU2yo9mEOfoDl8nK18Zg,
65,23855,5725,565,303,1,N,N,WS_Closed,3,Reports,,23837,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,MY0Y1Lc6hUC+dD0yCCicpQ,,
66,23856,5725,565,102,1,N,N,WS_Closed,1,Drawings /lists,,23850,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,zOfmHrX/XE2qhTFgboyP+g,,
67,23857,5725,565,0,1,N,N,WS_Closed,1,Drawings /lists,,23840,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,rTYyKm44I0GnF+WYfRlL/Q,XhWKy89850KkbMlqdRX4zg,
68,23858,5725,565,2,1,N,N,WS_Closed,2,Reports,,23839,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,XUM9mdl3gEWCQiZmwyzy4A,oJuYft3iV0q53qh6DQXrPA,
69,23859,5725,565,3,1,N,N,WS_Closed,3,Specifications / MTO's,,23839,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,CrfGOkAlJU+GLPEauk+TOQ,i/uK2JDEKkSKwiDSfdDxqA,
70,23860,5725,565,1,1,N,N,WS_Closed,2,Reports,,23833,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,EES2+dtS2Ee4eMcmv3+RYg,kvUNCAcyw0eO4fR2MhyyhA,
71,23861,5725,565,103,1,N,N,WS_Closed,4,Additonal studies,,23839,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,lSLdKpBxlEmz42hhjxAP7A,,
72,23862,5725,565,1,1,N,N,WS_Closed,2,Reports,,23836,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,6BCcRX0cmES5zjl25tymeA,1LTecf2CUE2Q7oen4GKRzg,
73,23863,5725,565,2,1,N,N,WS_Closed,3,MRQ's,,23836,20,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,jDhMLJigwUSPEvlCoDLiPw,5fUepwblFkGrC4756NIkDw,
