,clndr_id,default_flag,clndr_name,proj_id,base_clndr_id,last_chng_date,clndr_type,day_hr_cnt,week_hr_cnt,month_hr_cnt,year_hr_cnt,clndr_data
0,597,N,Standard 5 Day Workweek,,,2000-04-26 14:11,CA_Base,8,40,172,2000,(0||CalendarData()(    (0||DaysOfWeek()(      (0||1()())      (0||2()(        (0||0(s|08:00|f|12:00)())        (0||1(s|13:00|f|17:00)())))      (0||3()(        (0||0(s|08:00|f|12:00)())        (0||1(s|13:00|f|17:00)())))      (0||4()(        (0||0(s|08:00|f|12:00)())        (0||1(s|13:00|f|17:00)())))      (0||5()(        (0||0(s|08:00|f|12:00)())        (0||1(s|13:00|f|17:00)())))      (0||6()(        (0||0(s|08:00|f|12:00)())        (0||1(s|13:00|f|17:00)())))      (0||7()())))    (0||Exceptions()())))
1,720,Y,Standard 5 Day Workweek w/ Basic Holidays,,,2009-06-16 00:00,CA_Base,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()())(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||7()())))(0||VIEW(ShowTotal|Y)())(0||Exceptions()((0||0(d|37865)())(0||1(d|37952)())(0||2(d|37953)())(0||3(d|37980)())(0||4(d|37981)())(0||5(d|37987)())(0||6(d|38138)())(0||7(d|38173)())(0||8(d|38236)())(0||9(d|38316)())(0||10(d|38317)())(0||11(d|38345)())(0||12(d|38352)())(0||13(d|38502)())(0||14(d|38537)())(0||15(d|38600)())(0||16(d|38680)())(0||17(d|38681)())(0||18(d|38712)())(0||19(d|38719)())(0||20(d|38866)())(0||21(d|38902)())(0||22(d|38964)())(0||23(d|39044)())(0||24(d|39045)())(0||25(d|39076)())(0||26(d|39083)())(0||27(d|39230)())(0||28(d|39267)())(0||29(d|39328)())(0||30(d|39408)())(0||31(d|39409)())(0||32(d|39441)())(0||33(d|39448)())(0||34(d|39594)())(0||35(d|39633)())(0||36(d|39692)())(0||37(d|39779)())(0||38(d|39780)())(0||39(d|39807)())(0||40(d|39814)())(0||41(d|39958)())(0||42(d|39997)())(0||43(d|40063)())(0||44(d|40143)())(0||45(d|40144)())(0||46(d|40172)())(0||47(d|40179)())(0||48(d|40329)())(0||49(d|40364)())(0||50(d|40427)())(0||51(d|40507)())(0||52(d|40508)())(0||53(d|40536)())(0||54(d|40546)())(0||55(d|40693)())(0||56(d|40728)())(0||57(d|40791)())(0||58(d|40871)())(0||59(d|40872)())(0||60(d|40903)())(0||61(d|40910)())(0||62(d|41057)())(0||63(d|41094)())(0||64(d|41155)())(0||65(d|41235)())(0||66(d|41236)())(0||67(d|41268)())(0||68(d|41275)())(0||69(d|41421)())(0||70(d|41459)())(0||71(d|41519)())(0||72(d|41606)())(0||73(d|41607)())(0||74(d|41633)())))))
2,782,N,School District 5 Day,,,2009-04-27 00:00,CA_Base,8,48,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()())(0||2()((0||0(s|08:00|f|16:00)())))(0||3()((0||0(s|08:00|f|16:00)())))(0||4()((0||0(s|08:00|f|16:00)())))(0||5()((0||0(s|08:00|f|16:00)())))(0||6()((0||0(s|08:00|f|16:00)())))(0||7()((0||0(s|08:00|f|16:00)())))))(0||VIEW(ShowTotal|Y)())(0||Exceptions()((0||0(d|38325)((0||0(s|08:00|f|16:00)())))(0||1(d|38332)((0||0(s|08:00|f|16:00)())))(0||2(d|38339)((0||0(s|08:00|f|16:00)())))(0||3(d|38346)((0||0(s|08:00|f|16:00)())))(0||4(d|38348)((0||0(s|08:00|f|16:00)())))(0||5(d|38353)((0||0(s|08:00|f|16:00)())))(0||6(d|38360)((0||0(s|08:00|f|16:00)())))(0||7(d|38367)((0||0(s|08:00|f|16:00)())))(0||8(d|38374)((0||0(s|08:00|f|16:00)())))(0||9(d|38381)((0||0(s|08:00|f|16:00)())))))))
3,911,N,BSUT - Global,,,,CA_Base,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()())(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||7()())))(0||Exceptions()())))
4,912,N,BSUT - 1 - 6 Days & HD's,,,,CA_Base,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
5,913,N,BSUT - 2 - 7 days,,,,CA_Base,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()())))
6,916,N,ALQT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
7,917,N,BKQT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
8,918,N,BLQT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
9,920,N,CL - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
10,921,N,CMAT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
11,922,N,CMH - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
12,923,N,CNCF - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
13,924,N,CDRAF - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
14,925,N,COQT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
15,927,N,ELQT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
16,928,N,EMAT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
17,929,N,COOR - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
18,930,N,EXQT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
19,931,N,FCRP - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
20,932,N,FMWRK - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
21,933,N,FSQT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
22,934,N,ERT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
23,936,N,MCFT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
