,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,12841,,7258,  -2,R2,10
1,12843,,7259, ,Z10,20
2,12844,,7260,T  ,T,10
3,12845,,7260,T1  ,T1,20
4,12846,,7260,U  ,U,30
5,12847,,7260,U1  ,U1,40
6,12848,,7260,V  ,V,50
7,12849,,7260,V1  ,V1,60
8,12850,,7260,W  ,W,70
9,12851,,7260,W1  ,W1,80
10,12852,,7260,X  ,X,90
11,12853,,7260,X1  ,X1,100
12,12854,,7260,X2  ,X2,110
13,12855,,7260,Y  ,Y,120
14,12856,,7260,Y1  ,Y1,130
15,12857,,7260,Z  ,Z,140
16,12859,,7261,   ,A,20
17,12860,,7261,   ,B,30
18,12861,,7261,  ,C,40
19,12864,,7262, ,1,10
20,12865,,7262, ,2,20
21,12867,,7262,3,3,40
22,12868,,7263, ,FO,10
23,12869,,7263, ,GF,20
24,12870,,7263, ,01,30
25,12871,,7263,  ,FW,40
26,12872,,7263, ,RF,50
27,12873,,7263,   ,TO,60
28,12874,,7264, 1,1,10
29,12875,,7264, 2,2,20
30,12876,,7264, 3,3,30
31,12877,,7264, 4,4,40
32,12878,,7264, 5,5,50
33,12879,,7264, 6,6,60
34,12880,,7264, 7,7,70
35,12881,,7264, 8,8,80
36,12882,,7264, 9,9,90
37,12883,,7264, 10,10,100
38,12884,,7264, ,00,110
39,12886,,7265,01/2010 - 02/2010,01,10
40,12887,,7265,03/2010 -04/2010,02,20
41,12888,,7265,05/2010 - 06/2010,03,30
42,12889,,7265,07/2010 - 08/2010,04,40
43,12890,,7265,09/2010 - 10/2010,05,50
44,12891,,7265,11/2010 - 12/2010,06,60
45,12892,,7265,01/2011 - 04/2011,07,70
46,12893,,7265,05/2011 - 07/2011,08,80
47,12894,,7265,  ,09,90
48,12897,,7266,,EXC,20
49,12898,,7266, ,REP,30
50,12899,,7266,    ,PC1,40
51,12900,,7266,  ,PC2,50
52,12901,,7266,    ,PC3,60
53,12902,,7266,   ,RCF,70
54,12903,,7266,   ,MAU,80
55,12904,,7266,   ,INU,90
56,12905,,7266, ,BAF,100
57,12906,,7266,  ,PEI,110
58,12907,,7266,   15   ,PC4,120
59,12908,,7266,  ,RCCG,130
60,12909,,7266,   ,RCSG,140
61,12910,,7266, ,RCC1,150
62,12911,,7266, ,RCS1,160
63,12912,,7266, ,RCCR,170
64,12913,,7266, ,RCSR,180
65,12914,,7266,   ,MAS,190
66,12915,,7266, ,PLA,200
67,12916,,7266, ,PAI,210
68,12917,,7266,  ,CEF,220
69,12918,,7266, ,CEW,230
70,12919,,7266, ,CET,240
71,12920,,7266,  ,INF,250
72,12921,,7266,  ,MAR,260
73,12922,,7266, ,MAT,270
74,12923,,7266,  ,ROI,280
75,12924,,7266,  ,HEI,290
76,12925,,7266, ,PLU,300
77,12926,,7266,  ,MET,310
78,12927,,7266,  ,WDE,320
79,12928,,7266,  ,ALM,330
80,12929,,7266,  ,CAR,340
81,12931,,7266, ,KAR,360
82,12932,,7266, ,ELC,370
83,12933,,7266,  ,LAS,380
84,12936,,7266,   ,BAFU,410
85,12937,,7266,  ,INUU,420
86,12938,,7266,    ,PC3U,430
87,12939,,7266,   ,RCFC,440
88,12940,,7266,   ,RCFU,450
89,12941,,7266,  ,RCSG1,460
90,12942,,7267,milestone,V00,10
91,12943,,7267,  31,V31,20
92,12944,,7267,  32,V32,30
93,12945,,7268,  1,01,10
94,12946,,7268,  2,02,20
95,12947,,7268,  3,03,30
96,12948,,7268,  4,04,40
97,12949,,7268,  5,05,50
98,12950,,7268,  6,06,60
99,12951,,7268,  7,07,70
100,12952,,7268,  8,08,80
101,12953,,7268,  9,09,90
102,12954,,7268,  10,10,100
103,12955,,7268,  11,11,110
104,12956,,7268,  12,12,120
105,12957,,7268,  13,13,130
106,12958,,7268,  14,14,140
107,12959,,7268,  15,15,150
108,12960,,7268,  16,16,160
109,12961,,7268,  17,17,170
110,12962,,7268,  18,18,180
111,12963,,7268,  19,19,190
112,12964,,7268,  20,20,200
113,12965,,7268,  21,21,210
114,12966,,7268,  22,22,220
115,12967,,7268,  23,23,230
116,12968,,7268,  24,24,240
117,12969,,7268,  25,25,250
118,12970,,7268,  26,26,260
119,12971,,7268,  27,27,270
120,12972,,7268,  28,28,280
121,12973,,7268,  29,29,290
122,12974,,7268,  30,30,300
123,12975,,7268,  31,31,310
124,12976,,7268,  32,32,320
125,12977,,7268,  33,33,330
126,12978,,7268,  34,34,340
127,12979,,7268,  35,35,350
128,12980,,7268,  36,36,360
129,12981,,7268,  37,37,370
130,12982,,7268,  38,38,380
131,12983,,7268,  39,39,390
132,12984,,7268,  40,40,400
133,12985,,7268,  41,41,410
134,12986,,7268,  42,42,420
135,12987,,7268,  43,43,430
136,12988,,7268,  44,44,440
137,12989,,7268,  45,45,450
138,12990,,7268,  46,46,460
139,12991,,7268,  47,47,470
140,12992,,7268,  48,48,480
141,12993,,7268,  49,49,490
142,12994,,7268,  50,50,500
143,12995,,7268,  51,51,510
144,12996,,7268,  52,52,520
145,12997,,7268,  53,53,530
146,12998,,7268,  54,54,540
147,12999,,7268,  55,55,550
148,13000,,7268,  56,56,560
149,13001,,7268,  57,57,570
150,13002,,7268,  58,58,580
151,13003,,7268,  59,59,590
152,13004,,7268,  60,60,600
153,13005,,7268,  61,61,610
154,13006,,7268,  62,62,620
155,13007,,7268,  63,63,630
156,13008,,7268,  64,64,640
157,13009,,7268,  65,65,650
158,13010,,7268,  66,66,660
159,13011,,7268,  67,67,670
160,13012,,7268,  68,68,680
161,13013,,7268,  69,69,690
162,13014,,7268,  70,70,700
163,13015,,7268,  71,71,710
164,13016,,7268,  72,72,720
165,13017,,7268,  73,73,730
166,13018,,7268,  74,74,740
167,13020,,7269,,010,20
168,13021,,7269,,020,30
169,13022,,7269,   10,030,40
170,13023,,7269,  ,040,50
171,13024,,7269,     10,050,60
172,13025,,7269,  ,060,70
173,13026,,7269,  ,070,80
174,13027,,7269,   ,080,90
175,13028,,7269,,090,100
176,13029,,7269,  ,100,110
177,13031,,7269,   15,110,130
178,13032,,7269,   15,120,140
179,13033,,7269,  ,210,150
180,13034,,7269,   ,220,160
181,13035,,7269, ,230,170
182,13036,,7269,  ,240,180
183,13037,,7269,  ,250,190
184,13038,,7269,   ,260,200
185,13039,,7269,  ,270,210
186,13040,,7269,  ,280,220
187,13041,,7269,   ,290,230
188,13042,,7269,  ,300,240
189,13043,,7269,H.D.F.  ,310,250
190,13044,,7269, ,320,260
191,13045,,7269, ,330,270
192,13046,,7269,   ,340,280
193,13047,,7269,  ,350,290
194,13048,,7269,  ,360,300
195,13049,,7269, ,370,310
196,13050,,7269,   ,380,320
197,13051,,7269,  ,390,330
198,13053,,7269,H.D.F.  ,410,350
199,13054,,7269,  ,420,360
200,13055,,7269,    ,430,370
201,13059,,7269,  ,470,410
202,13060,,7269, ,480,420
203,13061,,7269, ,510,430
204,13062,,7269,   ,520,440
205,13063,,7269, ,530,450
206,13064,,7269,  ,540,460
207,13065,,7269,  ,550,470
